brand_norm;model_norm;version_norm;model_year;fipe_brand;fipe_model;fipe_code;score;match_source;first_seen;last_seen
fiat;fiorino;fiorino endurance 1.4 flex mec;2023;fiat;fiorino endurance evo 1.4 flex 8v 2p;001531-8;0.8067;contains;2025-08-25;2025-09-15
fiat;fiorino;fiorino endurance 1.4 flex mec;2024;fiat;fiorino endurance evo 1.4 flex 8v 2p;001531-8;0.8067;contains;2025-08-25;2025-09-15
fiat;fiorino;fiorino endurance 1.4 flex mec;2025;fiat;fiorino endurance evo 1.4 flex 8v 2p;001531-8;0.8067;contains;2025-08-25;2025-09-15
fiat;fiorino;fiorino endurance evo 1.4 diesel mec;2022;fiat;fiorino endurance evo 1.4 flex 8v 2p;001531-8;0.7416;contains;2025-08-25;2025-08-25
fiat;fiorino;fiorino endurance evo 1.4 flex mec;2023;fiat;fiorino endurance evo 1.4 flex 8v 2p;001531-8;0.9081;contains;2025-08-25;2025-09-15
fiat;fiorino;fiorino endurance evo 1.4 flex mec;2024;fiat;fiorino endurance evo 1.4 flex 8v 2p;001531-8;0.9081;contains;2025-08-25;2025-09-15
fiat;mobi;mobi like 1.0 flex mec;2021;fiat;mobi like 1.0 fire flex 5p.;001461-3;0.7733;contains;2025-08-25;2025-10-10
fiat;mobi;mobi like 1.0 flex mec;2022;fiat;mobi like 1.0 fire flex 5p.;001461-3;0.7733;contains;2025-08-25;2025-10-15
fiat;mobi;mobi like 1.0 flex mec;2023;fiat;mobi like 1.0 fire flex 5p.;001461-3;0.7733;contains;2025-08-25;2025-10-15
fiat;mobi;mobi like 1.0 flex mec;2024;fiat;mobi like 1.0 fire flex 5p.;001461-3;0.7733;contains;2025-08-25;2025-10-15
fiat;mobi;mobi like 1.0 flex mec;2025;fiat;mobi like 1.0 fire flex 5p.;001461-3;0.7733;contains;2025-08-25;2025-10-15
fiat;mobi;mobi trekking 1.0 flex mec;2024;fiat;mobi trekking 1.0 flex 5p.;001536-9;0.885;contains;2025-08-25;2025-10-15
fiat;mobi;mobi trekking 1.0 flex mec;2025;fiat;mobi trekking 1.0 flex 5p.;001536-9;0.885;contains;2025-08-25;2025-10-06
fiat;pulse;pulse audace 1.0 flex aut;2022;fiat;pulse audace 1.0 turbo 200 flex aut.;001542-3;0.8095;contains;2025-08-25;2025-09-15
fiat;pulse;pulse audace 1.0 flex aut;2023;fiat;pulse audace 1.0 turbo 200 flex aut.;001542-3;0.8095;contains;2025-08-25;2025-09-15
fiat;pulse;pulse audace 1.0 flex aut;2024;fiat;pulse audace 1.0 turbo 200 flex aut.;001542-3;0.8095;contains;2025-08-25;2025-09-15
fiat;pulse;pulse audace 1.0 flex aut;2025;fiat;pulse audace 1.0 turbo 200 flex aut.;001542-3;0.8095;contains;2025-08-25;2025-09-15
fiat;pulse;pulse audace 1.0 turbo 200 flex aut;2022;fiat;pulse audace 1.0 turbo 200 flex aut.;001542-3;1.0;contains;2025-09-15;2025-10-15
fiat;pulse;pulse audace 1.0 turbo 200 flex aut;2023;fiat;pulse audace 1.0 turbo 200 flex aut.;001542-3;1.0;contains;2025-08-31;2025-10-15
fiat;pulse;pulse audace 1.0 turbo 200 flex aut;2024;fiat;pulse audace 1.0 turbo 200 flex aut.;001542-3;1.0;contains;2025-08-25;2025-10-15
fiat;pulse;pulse audace 1.0 turbo 200 flex aut;2025;fiat;pulse audace 1.0 turbo 200 flex aut.;001542-3;1.0;contains;2025-08-31;2025-10-15
fiat;pulse;pulse audace turbo aut 1.0 diesel;2022;fiat;pulse audace 1.0 turbo 200 flex aut.;001542-3;0.6793;contains;2025-08-25;2025-09-15
fiat;pulse;pulse audace turbo aut 1.0 flex;2023;fiat;pulse audace 1.0 turbo 200 flex aut.;001542-3;0.8271;contains;2025-08-25;2025-08-25
fiat;pulse;pulse drive 1.0 flex aut;2023;fiat;pulse drive 1.3 8v flex aut.;001544-0;0.8525;contains;2025-08-25;2025-09-15
fiat;pulse;pulse drive 1.0 turbo 200 flex aut;2023;fiat;pulse drive 1.0 turbo 200 flex aut.;001543-1;1.0;contains;2025-10-15;2025-10-15
fiat;pulse;pulse drive 1.3 flex aut;2023;fiat;pulse drive 1.3 8v flex aut.;001544-0;1.0;contains;2025-08-25;2025-10-15
fiat;pulse;pulse drive 1.3 flex aut;2024;fiat;pulse drive 1.3 8v flex aut.;001544-0;1.0;contains;2025-08-25;2025-10-15
fiat;pulse;pulse drive 1.3 flex aut;2025;fiat;pulse drive 1.3 8v flex aut.;001544-0;1.0;contains;2025-08-25;2025-10-15
fiat;pulse;pulse impetus 1.0 turbo 200 flex aut;2024;fiat;pulse impetus 1.0 turbo 200 flex aut.;001546-6;1.0;contains;2025-09-15;2025-09-15
fiat;strada;nova strada endurance cabine plus 1.4 flex mec;2021;fiat;strada endurance 1.4 flex 8v cs plus;001526-1;0.6672;contains;2025-10-06;2025-10-15
fiat;strada;nova strada endurance cabine plus 1.4 flex mec;2022;fiat;strada endurance 1.4 flex 8v cs plus;001526-1;0.6672;contains;2025-08-25;2025-10-15
fiat;strada;nova strada endurance cabine plus 1.4 flex mec;2023;fiat;strada endurance 1.4 flex 8v cs plus;001526-1;0.6672;contains;2025-08-25;2025-10-15
fiat;strada;nova strada freedom cabine plus 1.3 flex mec;2024;fiat;strada freedom 1.3 flex 8v  cs plus;001527-0;0.6587;contains;2025-10-10;2025-10-10
fiat;strada;nova strada freedom cabine plus 1.3 flex mec;2025;fiat;strada freedom 1.3 flex 8v  cs plus;001527-0;0.6587;contains;2025-09-15;2025-10-15
fiat;strada;nova strada freedom cd 1.3 flex mec;2023;fiat;strada freedom 1.3 flex 8v cd;001530-0;0.8027;contains;2025-08-25;2025-10-15
